项目名称,区域,建筑面积（㎡）,房屋用途,户型,意向售价(万元),参考价(元/平方米),房源编码,代理中介名称,委托期限,发布时间
君逸世家花园1栋,宝安,46.65,住宅,二房,350,85800,258998616364乐有家,深圳市乐有家房产交易有限公司,2025-08-08 12:08:42~2025-10-08 12:10:42,2025-04-11
中海西岸华府（南区）4栋,宝安,52.42,住宅,二房,230,43600,257412943258深圳锦弘房地产经纪有限公司,深圳锦弘房地产经纪有限公司,2025-08-08 10:08:29~2025-10-08 10:10:29,2025-04-11
桃源盛世园1#-6#楼,宝安,75.3,住宅,二房,360,55000,252560096221中原地产,中原地产代理（深圳）有限公司,2025-07-22 06:07:49~2025-09-21 06:09:49,2025-03-04
西城上筑花园3栋,宝安,73.6,住宅,二房,630,88400,255835075096链家,深圳链家房地产经纪有限公司,2025-06-20 12:06:22~2025-08-20 12:08:22,2025-02-21
潜龙*鑫茂花园A区6栋,宝安,67.65,住宅,二房,345,61300,254328184067明家地产,深圳市明家房地产有限公司,2025-08-03 01:08:14~2025-10-03 01:10:14,2025-05-02
潜龙*鑫茂花园B区1栋,宝安,68.06,住宅,二房,430,61300,259554057415乐有家,深圳市乐有家房产交易有限公司,2025-07-23 06:07:24~2025-09-22 06:09:24,2025-03-26
幸福港湾尚品居,宝安,63.96,住宅,二房,450,73500,259788102033中原地产,中原地产代理（深圳）有限公司,2025-07-31 08:07:24~2025-09-30 08:09:24,2025-04-03
泰华锦绣城1栋,宝安,82.2,住宅,二房,360,49100,250097371090鑫联地产,深圳市鑫联地产有限公司,2025-07-21 08:07:26~2025-09-20 08:09:26,2025-05-11
桃源峰景园7栋,宝安,88,住宅,二房,485,51000,252196650670乐有家,深圳市乐有家房产交易有限公司,2025-07-09 09:07:53~2025-09-08 09:09:53,2025-03-19
西城雅筑花苑,宝安,66.36,住宅,二房,550,88400,253411179115创鸿房地产,深圳市创鸿房地产经纪有限公司,2025-06-19 08:06:10~2025-08-19 08:08:10,2025-02-24
泰华锦绣城1栋,宝安,77.6,住宅,二房,400,49100,250677311070鑫联地产,深圳市鑫联地产有限公司,2025-07-15 12:07:07~2025-09-14 12:09:07,2025-04-04
高发西岸花园1栋,宝安,78.4,住宅,二房,760,88400,251108753480乐有家,深圳市乐有家房产交易有限公司,2025-07-10 08:07:30~2025-09-09 08:09:30,2025-04-10
风临洲苑1栋,宝安,76.49,住宅,二房,620,83800,255655366530中原地产,中原地产代理（深圳）有限公司,2025-07-23 12:07:33~2025-09-22 12:09:33,2025-04-12
流塘大厦一栋,宝安,81.17,住宅,二房,326,41200,254138396526深圳国房通科技有限公司,深圳仟家雅居科技有限公司,2025-07-15 04:07:35~2025-09-14 04:09:35,2025-03-19
金地上塘道花园6栋,宝安,64.92,住宅,二房,400,66600,258905794966乐有家控股,深圳市乐有家控股集团有限公司,2025-05-29 04:05:37~2025-08-28 04:08:37,2025-06-08
华盛盛荟名庭2号楼,宝安,58.96,商务公寓,二房,235,73700,251407290349乐有家,深圳市乐有家房产交易有限公司,2025-08-01 08:08:27~2025-10-01 08:10:27,2025-04-07
万科金域华府一期1-8栋,宝安,85.12,住宅,二房,600,81200,258965598132深圳朴邻,深圳市朴邻房地产经纪有限公司,2025-08-04 04:08:44~2025-10-04 04:10:44,2025-04-04
富盈门花园C栋,宝安,81.97,住宅,二房,450,57600,253133122358中原地产,中原地产代理（深圳）有限公司,2025-06-21 06:06:35~2025-08-21 06:08:35,2025-02-20
金成时代家园1栋,宝安,81.71,住宅,二房,620,78900,251557794187深圳泓晟房地产公司,深圳市泓晟房地产经纪有限公司,2025-08-02 06:08:27~2025-10-02 06:10:27,2025-04-26
星河盛世花园(一期)1栋,宝安,77.41,住宅,二房,485,72000,251999729054乐有家控股,深圳市乐有家控股集团有限公司,2025-08-16 10:08:47~2025-10-16 10:10:47,2025-05-18
魅力时代花园1栋,宝安,76.3,住宅,二房,500,74800,258215214956中原地产,中原地产代理（深圳）有限公司,2025-08-09 06:08:33~2025-10-09 06:10:33,2025-04-11
魅力时代花园2栋,宝安,74.29,住宅,二房,480,74800,250608804599中原地产,中原地产代理（深圳）有限公司,2025-07-17 10:07:53~2025-09-16 10:09:53,2025-04-04
丰泽湖山庄8栋,宝安,92.88,住宅,二房,550,56800,252893141172深圳大胜房地产经纪有限公司,深圳大胜房地产经纪有限公司,2025-06-30 08:06:41~2025-08-30 08:08:41,2025-04-08
魅力时代花园1栋,宝安,76.21,住宅,二房,530,74800,250141315561乐有家,深圳市乐有家房产交易有限公司,2025-07-03 10:07:43~2025-09-02 10:09:43,2025-04-01
雅仕阁一栋,宝安,72.11,住宅,二房,410,56500,252575409604乐有家,深圳市乐有家房产交易有限公司,2025-06-20 07:06:23~2025-08-20 07:08:23,2025-04-09
上合花园1栋,宝安,69.89,住宅,二房,469,--,258433157006中原地产,中原地产代理（深圳）有限公司,2025-08-01 10:08:44~2025-10-01 10:10:44,2025-04-03
福景花园二栋,宝安,65.78,住宅,二房,235,40600,257399939482中原地产,中原地产代理（深圳）有限公司,2025-07-31 06:07:28~2025-09-30 06:09:28,2025-04-05
怡合花园四栋,宝安,77.7,住宅,二房,375,69000,256130561004中原地产,中原地产代理（深圳）有限公司,2025-07-15 08:07:38~2025-09-14 08:09:38,2025-03-16
丽景城11栋,宝安,71.51,住宅,二房,380,62100,253341269766中原地产,中原地产代理（深圳）有限公司,2025-07-14 02:07:40~2025-09-13 02:09:40,2025-03-17
桃源居14区8B栋,宝安,57.84,住宅,二房,260,50000,257294749155盛世家地产,深圳市盛世家房地产经纪有限公司,2025-05-31 08:05:28~2025-08-30 08:08:28,2025-06-28
新安湖花园新照村,宝安,79.5,住宅,二房,395,62000,252859768627润家地产,深圳市润家地产顾问有限公司,2025-06-21 02:06:23~2025-08-21 02:08:23,2025-02-27
黄金大厦1栋,宝安,47.04,住宅,二房,300,65400,254645840187乐有家,深圳市乐有家房产交易有限公司,2025-07-23 02:07:30~2025-09-22 02:09:30,2025-03-25
天悦龙庭A栋,宝安,92.58,住宅,二房,788,88400,258237874458乐有家,深圳市乐有家房产交易有限公司,2025-07-30 12:07:31~2025-09-29 12:09:31,2025-04-01
鸿隆广场1栋,宝安,47.6,住宅,二房,265,68000,259649033873中原地产,中原地产代理（深圳）有限公司,2025-07-28 08:07:39~2025-09-27 08:09:39,2025-04-23
书香门第名苑15栋,宝安,70.26,住宅,二房,450,65300,257597444459深圳大胜房地产经纪有限公司,深圳大胜房地产经纪有限公司,2025-06-21 08:06:19~2025-08-21 08:08:19,2025-03-08
勤诚达乐园,宝安,79.86,住宅,二房,800,--,257312102052链家,深圳链家房地产经纪有限公司,2025-07-10 02:07:46~2025-09-09 02:09:46,2025-03-11
金地上塘道花园7栋,宝安,65.11,住宅,二房,400,66600,256745034878链家,深圳链家房地产经纪有限公司,2025-06-18 10:06:34~2025-08-18 10:08:34,2025-04-13
湾美花园9#楼,宝安,55.74,住宅,二房,480,85000,252398758980中原地产,中原地产代理（深圳）有限公司,2025-06-28 04:06:36~2025-08-28 04:08:36,2025-04-02
丹枫雅苑1栋,宝安,71.29,住宅,二房,330,56300,257584116065深圳市宏帆房地产经纪有限公司,深圳市宏帆房地产经纪有限公司,2025-07-09 04:07:39~2025-09-08 04:09:39,2025-03-30
星航华府二期,宝安,78.25,住宅,二房,310,52400,254984381927中原地产,中原地产代理（深圳）有限公司,2025-08-09 12:08:40~2025-10-09 12:10:40,2025-04-02
香格丽湾园6栋,宝安,60.23,住宅,二房,370,65000,255164025974链家,深圳链家房地产经纪有限公司,2025-07-23 02:07:33~2025-09-22 02:09:33,2025-03-31
丰润花园16栋,宝安,72.85,住宅,二房,366,43800,253776538199乐有家,深圳市乐有家房产交易有限公司,2025-08-15 02:08:29~2025-10-15 02:10:29,2025-03-16
金泽花园雅景阁,宝安,66.2,住宅,二房,228,38900,254759781566乐有家,深圳市乐有家房产交易有限公司,2025-07-30 04:07:38~2025-09-29 04:09:38,2025-04-01
玖悦雅轩,宝安,81.95,住宅,二房,690,84200,255050778650乐有家,深圳市乐有家房产交易有限公司,2025-07-30 06:07:34~2025-09-29 06:09:34,2025-04-01
德业新城花园A区1-2号楼,宝安,79.69,住宅,二房,618,86400,252721997030链家,深圳链家房地产经纪有限公司,2025-07-05 10:07:34~2025-09-04 10:09:34,2025-03-06
金港华庭1栋,宝安,64.92,住宅,二房,360,63300,253888923122中原地产,中原地产代理（深圳）有限公司,2025-07-19 06:07:40~2025-09-18 06:09:40,2025-03-24
中南花园4栋,宝安,80.3,住宅,二房,490,70300,254318753136乐有家,深圳市乐有家房产交易有限公司,2025-08-06 07:08:20~2025-10-06 07:10:20,2025-04-10
幸福港湾尚品居,宝安,65,住宅,二房,390,73500,251980986273中原地产,中原地产代理（深圳）有限公司,2025-07-08 08:07:05~2025-09-07 08:09:05,2025-04-03
天悦壹号玖苑1栋,宝安,83.09,商务公寓,二房,588,--,254416220545中原地产,中原地产代理（深圳）有限公司,2025-07-28 06:07:13~2025-09-27 06:09:13,2025-03-29
日出印象花园9栋,宝安,75.57,住宅,二房,380,52100,257271221645链家,深圳链家房地产经纪有限公司,2025-07-07 08:07:58~2025-09-06 08:09:58,2025-03-11
富盈门花园D栋,宝安,72.1,住宅,二房,377,57600,252524588237乐有家,深圳市乐有家房产交易有限公司,2025-07-25 02:07:24~2025-09-24 02:09:24,2025-03-26
海滨城广场8栋,宝安,60.9,住宅,二房,360,52500,254058717432乐有家,深圳市乐有家房产交易有限公司,2025-07-17 06:07:44~2025-09-16 06:09:44,2025-03-23
金地梅陇镇花园18栋,宝安,73.96,住宅,二房,385,58900,253136695531乐有家,深圳市乐有家房产交易有限公司,2025-07-09 04:07:29~2025-09-08 04:09:29,2025-04-10
阳光新境园2栋,宝安,79.65,住宅,二房,430,55500,253428640038乐有家控股,深圳市乐有家控股集团有限公司,2025-07-29 02:07:20~2025-09-28 02:09:20,2025-03-31
富通苑A栋,宝安,78.34,住宅,二房,398,56900,255661108404中原地产,中原地产代理（深圳）有限公司,2025-07-21 12:07:40~2025-09-20 12:09:40,2025-03-25
骏景华庭D栋,宝安,68,住宅,二房,348,54300,259550256681乐有家,深圳市乐有家房产交易有限公司,2025-07-07 10:07:11~2025-09-06 10:09:11,2025-03-09
泰华豪园三、四、五栋,宝安,78.2,住宅,二房,340,50000,258750216242链家,深圳链家房地产经纪有限公司,2025-08-10 08:08:34~2025-10-10 08:10:34,2025-04-11
天骄世家1栋,宝安,72.53,住宅,二房,435,60200,258667726232链家,深圳链家房地产经纪有限公司,2025-06-03 10:06:10~2025-09-02 10:09:10,2025-07-26
峰荟花园2栋,宝安,67.22,住宅,二房,238,50000,255543429430乐有家,深圳市乐有家房产交易有限公司,2025-07-11 04:07:27~2025-09-10 04:09:27,2025-04-11
弘雅花园三期雅豪轩北区2栋,宝安,78.65,住宅,二房,445,52700,258010450598德居房地产,深圳德居房地产经纪有限公司,2025-07-03 04:07:35~2025-09-02 04:09:35,2025-03-28
碧水龙庭1栋,宝安,73.31,住宅,二房,358,57200,257383451981明家地产,深圳市明家房地产有限公司,2025-05-25 06:05:45~2025-08-24 06:08:45,2025-07-23
德业新城花园B区3号楼,宝安,82.19,住宅,二房,680,86400,259708609113乐有家,深圳市乐有家房产交易有限公司,2025-07-24 10:07:32~2025-09-23 10:09:32,2025-02-26
新安湖花园新碧阁,宝安,73.88,住宅,二房,418,62000,250103990921深房联地产,深圳市深房联地产投资顾问有限公司,2025-06-23 06:06:25~2025-08-23 06:08:25,2025-03-24
天骄世家2栋,宝安,72.16,住宅,二房,390,60200,254856780534中原地产,中原地产代理（深圳）有限公司,2025-06-25 04:06:30~2025-08-25 04:08:30,2025-03-25
鸿隆广场1栋,宝安,49.46,住宅,二房,245,68000,254008595198幸福家园,深圳市幸福家园房地产信息咨询有限公司,2025-06-23 12:06:39~2025-08-23 12:08:39,2025-03-24
西城雅筑花苑,宝安,67.01,住宅,二房,545,88400,254782862678爱住家优居,深圳市爱住家优居房地产有限公司,2025-05-23 08:05:38~2025-08-22 08:08:38,2025-07-21
潜龙曼海宁花园（南区）5、6、7栋,宝安,80.29,住宅,二房,400,71400,251359678508链家,深圳链家房地产经纪有限公司,2025-07-28 10:07:15~2025-09-27 10:09:15,2025-03-12
瑞尚居3栋,宝安,81.3,住宅,二房,350,--,253476236610链家,深圳链家房地产经纪有限公司,2025-07-12 10:07:44~2025-09-11 10:09:44,2025-03-27
城市明珠花园13栋,宝安,63.39,住宅,二房,295,48200,254825486267乐有家,深圳市乐有家房产交易有限公司,2025-07-02 08:07:46~2025-09-01 08:09:46,2025-03-04
滢水山庄二区第八栋,宝安,74.38,住宅,二房,315,48200,251414339626乐有家控股,深圳市乐有家控股集团有限公司,2025-06-29 08:06:20~2025-08-29 08:08:20,2025-03-21
佳华名苑1栋,宝安,61.88,住宅,二房,430,78600,254561410761中原地产,中原地产代理（深圳）有限公司,2025-07-03 04:07:29~2025-09-02 04:09:29,2025-03-24
会展湾中港广场3栋,宝安,84.54,商务公寓,二房,380,--,254168657385乐有家,深圳市乐有家房产交易有限公司,2025-06-24 06:06:29~2025-08-24 06:08:29,2025-03-23
汇源阁1栋,宝安,58.74,住宅,二房,280,49000,255278804668链家,深圳链家房地产经纪有限公司,2025-07-22 10:07:33~2025-09-21 10:09:33,2025-03-22
白金假日公寓1栋,宝安,40.83,住宅,二房,280,82400,251970122082中原地产,中原地产代理（深圳）有限公司,2025-06-25 10:06:49~2025-08-25 10:08:49,2025-03-27
鸿隆广场1栋,宝安,49.69,住宅,二房,289,68000,256312793452乐有家,深圳市乐有家房产交易有限公司,2025-07-07 02:07:26~2025-09-06 02:09:26,2025-03-26
万科金域华府一期1-8栋,宝安,85.18,住宅,二房,530,81200,253856785890乐有家,深圳市乐有家房产交易有限公司,2025-08-01 02:08:26~2025-10-01 02:10:26,2025-03-11
前海颐大厦商务公寓,宝安,89.99,商务公寓,二房,650,--,257085551187乐有家控股,深圳市乐有家控股集团有限公司,2025-06-29 05:06:48~2026-06-30 05:06:48,2025-06-29
西城上筑花园2栋,宝安,74.62,住宅,二房,680,88400,252888078359链家,深圳链家房地产经纪有限公司,2025-07-21 10:07:08~2025-09-20 10:09:08,2025-04-16
丽景城3栋,宝安,71.67,住宅,二房,360,62100,252664628988乐有家,深圳市乐有家房产交易有限公司,2025-07-15 12:07:48~2025-09-14 12:09:48,2025-04-18
桃源居12区13栋,宝安,81.97,住宅,二房,350,48000,250088498520链家,深圳链家房地产经纪有限公司,2025-07-15 12:07:39~2025-09-14 12:09:39,2025-04-04
银鸿大楼,宝安,45.06,办公,二房,220,--,252080125097乐有家控股,深圳市乐有家控股集团有限公司,2025-08-14 09:08:43~2026-08-15 09:08:43,2025-08-14
书香门第名苑15栋,宝安,66.28,住宅,二房,340,65300,252895525070成家永兴,深圳市成家永兴地产经纪有限公司,2025-06-21 10:06:20~2025-08-21 10:08:20,2025-02-20
桃源居13区8栋,宝安,86.78,住宅,二房,390,49000,250268828170乐有家,深圳市乐有家房产交易有限公司,2025-07-08 04:07:17~2025-09-07 04:09:17,2025-03-20
潜龙*鑫茂花园A区3栋,宝安,68.54,住宅,二房,420,61300,254965044958链家,深圳链家房地产经纪有限公司,2025-07-11 10:07:27~2025-09-10 10:09:27,2025-03-13
幸福港湾尚品居,宝安,64.5,住宅,二房,430,73500,259218323358深圳市连横房地产经纪有限公司,深圳市连横房地产经纪有限公司,2025-07-03 10:07:39~2025-09-02 10:09:39,2025-03-09
畔山御景花园4栋,宝安,78.18,住宅,二房,239,42500,253534018352中原地产,中原地产代理（深圳）有限公司,2025-07-09 08:07:27~2025-09-08 08:09:27,2025-03-09
碧海富通城15栋,宝安,46.19,住宅,二房,272,70200,257085975803深圳市连横房地产经纪有限公司,深圳市连横房地产经纪有限公司,2025-08-05 10:08:31~2025-10-05 10:10:31,2025-04-11
碧水龙庭4栋,宝安,72.29,住宅,二房,370,57200,258445173757中原地产,中原地产代理（深圳）有限公司,2025-06-23 12:06:31~2025-08-23 12:08:31,2025-03-30
桃源盛景园19栋,宝安,75.37,住宅,二房,330,57000,256227288709乐有家控股,深圳市乐有家控股集团有限公司,2025-08-09 10:08:31~2025-10-09 10:10:31,2025-05-26
锦绣江南D栋,宝安,76.57,住宅,二房,465,49000,256126300030深圳乐远中央原著A店,深圳市七心房地产投资顾问有限公司,2025-06-20 06:06:31~2025-08-20 06:08:31,2025-02-18
皓月花园6栋,宝安,65.68,住宅,二房,360,53400,255616269695恒合达,深圳市恒合达房地产经纪有限公司,2025-08-08 12:08:58~2025-10-08 12:10:58,2025-04-09
财富港大厦,宝安,42.11,住宅,二房,368,66800,257125916800乐有家,深圳市乐有家房产交易有限公司,2025-08-07 06:08:31~2025-10-07 06:10:31,2025-04-10
嘉洲商务中心（A007-0559）3栋商务公寓,宝安,57.94,商务公寓,二房,190,--,252233825801中原地产,中原地产代理（深圳）有限公司,2025-07-29 02:07:30~2025-09-28 02:09:30,2025-03-29
幸福港湾尚品居,宝安,64.01,住宅,二房,430,73500,253908056100乐有家,深圳市乐有家房产交易有限公司,2025-06-30 02:06:54~2025-08-30 02:08:54,2025-03-04
金地上塘道花园1栋,宝安,64.95,住宅,二房,400,66600,254274279537乐有家控股,深圳市乐有家控股集团有限公司,2025-07-02 12:07:27~2025-09-01 12:09:27,2025-04-02
桃源居13区7栋,宝安,87.68,住宅,二房,380,49000,252490348271乐有家,深圳市乐有家房产交易有限公司,2025-08-05 07:08:18~2025-10-05 07:10:18,2025-04-06
绿海名居1号楼,宝安,75.31,住宅,二房,475,66800,256429022985链家,深圳链家房地产经纪有限公司,2025-08-10 04:08:50~2025-10-10 04:10:50,2025-04-10
弘雅花园(四期)雅兰亭3号楼,宝安,61.27,住宅,二房,380,58000,259489622842中原地产,中原地产代理（深圳）有限公司,2025-06-23 02:06:27~2025-08-23 02:08:27,2025-02-24
天健时尚空间名苑,宝安,47.43,住宅,二房,580,100800,251713763725乐有家,深圳市乐有家房产交易有限公司,2025-07-18 08:07:43~2025-09-17 08:09:43,2025-03-21
鸿隆广场1栋,宝安,48.83,住宅,二房,265,68000,258872297722中原地产,中原地产代理（深圳）有限公司,2025-06-18 10:06:22~2025-08-18 10:08:22,2025-03-24
幸福港湾尚品居,宝安,64.88,住宅,二房,400,73500,255279755925中原地产,中原地产代理（深圳）有限公司,2025-07-16 10:07:39~2025-09-15 10:09:39,2025-03-22
深业*新岸线1栋,宝安,78.26,住宅,二房,640,86900,258311015772链家,深圳链家房地产经纪有限公司,2025-07-21 06:07:48~2025-09-20 06:09:48,2025-03-22
桃源盛景园2栋,宝安,79.26,住宅,二房,379,50000,257584529541馨乐居房地产,深圳市馨乐居房地产经纪有限公司,2025-07-03 04:07:43~2025-09-02 04:09:43,2025-03-05
73区4号楼,宝安,70.07,住宅,二房,258,46400,252210881847乐有家,深圳市乐有家房产交易有限公司,2025-07-20 02:07:50~2025-09-19 02:09:50,2025-03-20
桦润馨居C区C3栋,宝安,74.64,住宅,二房,313,44000,255306364466链家,深圳链家房地产经纪有限公司,2025-07-03 04:07:24~2025-09-02 04:09:24,2025-04-22
星河丹堤花园F区2栋,宝安,93.97,住宅,二房,760,72200,258206510440乐有家,深圳市乐有家房产交易有限公司,2025-07-20 10:07:17~2025-09-19 10:09:17,2025-03-21
乐景花园一栋,宝安,73.42,住宅,二房,320,41500,258704285040乐有家,深圳市乐有家房产交易有限公司,2025-06-19 12:06:31~2025-08-19 12:08:31,2025-03-25
桃源盛世园1#-6#楼,宝安,80.35,住宅,二房,450,55000,250407976644链家,深圳链家房地产经纪有限公司,2025-07-05 06:07:43~2025-09-04 06:09:43,2025-03-20
西城上筑花园1栋,宝安,74.97,住宅,二房,630,88400,250781278202乐有家,深圳市乐有家房产交易有限公司,2025-08-16 12:08:42~2025-10-16 12:10:42,2025-03-21
西海岸花园海峰阁,宝安,81.49,住宅,二房,485,57000,253900565796乐有家,深圳市乐有家房产交易有限公司,2025-06-24 02:06:28~2025-08-24 02:08:28,2025-03-31
日出印象花园9栋,宝安,75.55,住宅,二房,400,52100,252017617727乐有家控股,深圳市乐有家控股集团有限公司,2025-07-06 09:07:28~2025-09-05 09:09:28,2025-05-10
君逸世家花园1栋,宝安,86.63,住宅,二房,638,85800,257558093498乐有家,深圳市乐有家房产交易有限公司,2025-08-09 12:08:22~2025-10-09 12:10:22,2025-04-11
冠城世家3栋,宝安,80.77,住宅,二房,530,66400,254016946359乐有家,深圳市乐有家房产交易有限公司,2025-07-25 10:07:28~2025-09-24 10:09:28,2025-03-27
瑞尚居1栋,宝安,69.43,商务公寓,二房,223,--,258704738863新四海,新四海（深圳）房地产经纪有限责任公司,2025-07-02 12:07:14~2025-09-01 12:09:14,2025-04-11
尖岗山壹号花园4栋,宝安,77.29,住宅,二房,696,--,254039494374中原地产,中原地产代理（深圳）有限公司,2025-07-21 02:07:28~2025-09-20 02:09:28,2025-03-13
锦绣清华园四区3栋,宝安,78.29,住宅,二房,406,48000,254417275512中原地产,中原地产代理（深圳）有限公司,2025-07-12 12:07:27~2025-09-11 12:09:27,2025-03-14
菁英趣庭1栋,宝安,75.55,住宅,二房,650,87000,254197757152乐有家,深圳市乐有家房产交易有限公司,2025-06-25 10:06:43~2025-08-25 10:08:43,2025-04-06
风和日丽花园37栋,宝安,70.71,住宅,二房,350,47000,256358408790乐有家控股,深圳市乐有家控股集团有限公司,2025-07-12 08:07:28~2025-09-11 08:09:28,2025-04-15
黄金大厦1栋,宝安,48.23,住宅,二房,280,65400,252223637033中原地产,中原地产代理（深圳）有限公司,2025-07-21 12:07:36~2025-09-20 12:09:36,2025-04-10
二十四区商住楼A栋,宝安,77,住宅,二房,280,47500,255235304693乐有家,深圳市乐有家房产交易有限公司,2025-08-08 08:08:38~2025-10-08 08:10:38,2025-04-09
金地上塘道花园7栋,宝安,65.11,住宅,二房,340,66600,257322650586乐有家,深圳市乐有家房产交易有限公司,2025-07-28 10:07:50~2025-09-27 10:09:50,2025-03-12
金地梅陇镇花园19栋,宝安,47.12,住宅,二房,245,56200,254226994197链家,深圳链家房地产经纪有限公司,2025-07-12 02:07:25~2025-09-11 02:09:25,2025-03-16
桃源居三区Ⅰ栋,宝安,78.95,住宅,二房,350,50000,259396614478乐有家,深圳市乐有家房产交易有限公司,2025-07-03 08:07:00~2025-09-02 08:09:00,2025-03-10
富源商贸大厦1栋,宝安,92,住宅,二房,446,42100,258577196932乐有家,深圳市乐有家房产交易有限公司,2025-07-30 12:07:50~2025-09-29 12:09:50,2025-04-11
泰华苑A栋,宝安,51.16,住宅,二房,400,64200,251886124539链家,深圳链家房地产经纪有限公司,2025-07-18 10:07:31~2025-09-17 10:09:31,2025-03-22
幸福港湾尚品居,宝安,65,住宅,二房,380,73500,258562617674中原地产,中原地产代理（深圳）有限公司,2025-06-20 02:06:26~2025-08-20 02:08:26,2025-04-13
桃源居5#住宅楼,宝安,73.4,住宅,二房,310,48000,254275210382链家,深圳链家房地产经纪有限公司,2025-08-05 10:08:32~2025-10-05 10:10:32,2025-04-10
中海西岸华府12栋,宝安,85.1,住宅,二房,260,43600,252899618923中原地产,中原地产代理（深圳）有限公司,2025-06-22 12:06:27~2025-08-22 12:08:27,2025-03-25
