项目名称,区域,建筑面积（㎡）,房屋用途,户型,意向售价(万元),参考价(元/平方米),房源编码,代理中介名称,委托期限,发布时间
桃源居14区1栋,宝安,79.04,住宅,二房,350,50000,255789278045中原地产,中原地产代理（深圳）有限公司,2025-08-09 10:08:59~2025-10-09 10:10:59,2025-04-22
花乡家园,宝安,58.98,住宅,二房,468,88400,251360390792链家,深圳链家房地产经纪有限公司,2025-07-03 10:07:51~2025-09-02 10:09:51,2025-04-11
花乡家园,宝安,58.98,住宅,二房,498,88400,253230866776中原地产,中原地产代理（深圳）有限公司,2025-07-08 06:07:52~2025-09-07 06:09:52,2025-03-10
金地梅陇镇花园一期1栋,宝安,76.72,住宅,二房,400,57200,255680005102乐有家,深圳市乐有家房产交易有限公司,2025-07-11 10:07:36~2025-09-10 10:09:36,2025-03-12
泰华锦绣城1栋,宝安,79.5,住宅,二房,370,49100,257056227768中原地产,中原地产代理（深圳）有限公司,2025-07-03 08:07:25~2025-09-02 08:09:25,2025-03-07
君逸世家花园1栋,宝安,47.41,住宅,二房,398,85800,253104034749中原地产,中原地产代理（深圳）有限公司,2025-06-28 12:06:33~2025-08-28 12:08:33,2025-02-27
中粮万福阁1栋,宝安,43.96,住宅,二房,300,82500,251724863224中原地产,中原地产代理（深圳）有限公司,2025-07-14 04:07:02~2025-09-13 04:09:02,2025-03-17
富盈门花园A栋,宝安,79.93,住宅,二房,420,57600,257762628933乐有家,深圳市乐有家房产交易有限公司,2025-08-08 08:08:41~2025-10-08 08:10:41,2025-04-10
桃源居三区Ⅰ栋,宝安,82.19,住宅,二房,370,50000,257716103607链家,深圳链家房地产经纪有限公司,2025-06-21 08:06:27~2025-08-21 08:08:27,2025-04-04
丰润花园D6栋,宝安,72.9,住宅,二房,310,43800,251995381910链家,深圳链家房地产经纪有限公司,2025-06-30 08:06:48~2025-08-30 08:08:48,2025-04-03
香格丽湾园4栋,宝安,60.33,住宅,二房,365,65000,256993887465乐有家,深圳市乐有家房产交易有限公司,2025-06-30 10:06:21~2025-08-30 10:08:21,2025-03-31
香缇雅苑1＃楼,宝安,58.83,住宅,二房,320,54300,255230728186盛联行,深圳市盛联行网络科技有限公司,2025-05-22 06:05:55~2025-08-21 06:08:55,2025-06-19
泰华锦绣城1栋,宝安,82.2,住宅,二房,360,49100,250097371090鑫联地产,深圳市鑫联地产有限公司,2025-07-21 08:07:26~2025-09-20 08:09:26,2025-05-11
桃源峰景园7栋,宝安,88,住宅,二房,485,51000,252196650670乐有家,深圳市乐有家房产交易有限公司,2025-07-09 09:07:53~2025-09-08 09:09:53,2025-03-19
泰华锦绣城1栋,宝安,77.6,住宅,二房,400,49100,250677311070鑫联地产,深圳市鑫联地产有限公司,2025-07-15 12:07:07~2025-09-14 12:09:07,2025-04-04
流塘大厦一栋,宝安,81.17,住宅,二房,326,41200,254138396526深圳国房通科技有限公司,深圳仟家雅居科技有限公司,2025-07-15 04:07:35~2025-09-14 04:09:35,2025-03-19
金地上塘道花园6栋,宝安,64.92,住宅,二房,400,66600,258905794966乐有家控股,深圳市乐有家控股集团有限公司,2025-05-29 04:05:37~2025-08-28 04:08:37,2025-06-08
富盈门花园C栋,宝安,81.97,住宅,二房,450,57600,253133122358中原地产,中原地产代理（深圳）有限公司,2025-06-21 06:06:35~2025-08-21 06:08:35,2025-02-20
星河盛世花园(一期)1栋,宝安,77.41,住宅,二房,485,72000,251999729054乐有家控股,深圳市乐有家控股集团有限公司,2025-08-16 10:08:47~2025-10-16 10:10:47,2025-05-18
魅力时代花园1栋,宝安,76.3,住宅,二房,500,74800,258215214956中原地产,中原地产代理（深圳）有限公司,2025-08-09 06:08:33~2025-10-09 06:10:33,2025-04-11
魅力时代花园2栋,宝安,74.29,住宅,二房,480,74800,250608804599中原地产,中原地产代理（深圳）有限公司,2025-07-17 10:07:53~2025-09-16 10:09:53,2025-04-04
雅仕阁一栋,宝安,72.11,住宅,二房,410,56500,252575409604乐有家,深圳市乐有家房产交易有限公司,2025-06-20 07:06:23~2025-08-20 07:08:23,2025-04-09
丰润花园16栋,宝安,72.85,住宅,二房,366,43800,253776538199乐有家,深圳市乐有家房产交易有限公司,2025-08-15 02:08:29~2025-10-15 02:10:29,2025-03-16
世纪春城四期2#楼,宝安,75.6,住宅,二房,375,57000,259375036408中原地产,中原地产代理（深圳）有限公司,2025-08-19 12:08:29~2025-10-19 12:10:29,2025-04-02
金港华庭1栋,宝安,64.92,住宅,二房,360,63300,253888923122中原地产,中原地产代理（深圳）有限公司,2025-07-19 06:07:40~2025-09-18 06:09:40,2025-03-24
中南花园4栋,宝安,80.3,住宅,二房,490,70300,254318753136乐有家,深圳市乐有家房产交易有限公司,2025-08-06 07:08:20~2025-10-06 07:10:20,2025-04-10
幸福港湾尚品居,宝安,65,住宅,二房,390,73500,251980986273中原地产,中原地产代理（深圳）有限公司,2025-07-08 08:07:05~2025-09-07 08:09:05,2025-04-03
日出印象花园9栋,宝安,75.57,住宅,二房,380,52100,257271221645链家,深圳链家房地产经纪有限公司,2025-07-07 08:07:58~2025-09-06 08:09:58,2025-03-11
富盈门花园D栋,宝安,72.1,住宅,二房,377,57600,252524588237乐有家,深圳市乐有家房产交易有限公司,2025-07-25 02:07:24~2025-09-24 02:09:24,2025-03-26
海滨城广场8栋,宝安,60.9,住宅,二房,360,52500,254058717432乐有家,深圳市乐有家房产交易有限公司,2025-07-17 06:07:44~2025-09-16 06:09:44,2025-03-23
金地梅陇镇花园18栋,宝安,73.96,住宅,二房,385,58900,253136695531乐有家,深圳市乐有家房产交易有限公司,2025-07-09 04:07:29~2025-09-08 04:09:29,2025-04-10
阳光新境园2栋,宝安,79.65,住宅,二房,430,55500,253428640038乐有家控股,深圳市乐有家控股集团有限公司,2025-07-29 02:07:20~2025-09-28 02:09:20,2025-03-31
上合花园1栋,宝安,69.89,住宅,二房,469,--,258433157006中原地产,中原地产代理（深圳）有限公司,2025-08-01 10:08:44~2025-10-01 10:10:44,2025-04-03
怡合花园四栋,宝安,77.7,住宅,二房,375,69000,256130561004中原地产,中原地产代理（深圳）有限公司,2025-07-15 08:07:38~2025-09-14 08:09:38,2025-03-16
丽景城11栋,宝安,71.51,住宅,二房,380,62100,253341269766中原地产,中原地产代理（深圳）有限公司,2025-07-14 02:07:40~2025-09-13 02:09:40,2025-03-17
新安湖花园新照村,宝安,79.5,住宅,二房,395,62000,252859768627润家地产,深圳市润家地产顾问有限公司,2025-06-21 02:06:23~2025-08-21 02:08:23,2025-02-27
黄金大厦1栋,宝安,47.04,住宅,二房,300,65400,254645840187乐有家,深圳市乐有家房产交易有限公司,2025-07-23 02:07:30~2025-09-22 02:09:30,2025-03-25
书香门第名苑15栋,宝安,70.26,住宅,二房,450,65300,257597444459深圳大胜房地产经纪有限公司,深圳大胜房地产经纪有限公司,2025-06-21 08:06:19~2025-08-21 08:08:19,2025-03-08
湾美花园9#楼,宝安,55.74,住宅,二房,480,85000,252398758980中原地产,中原地产代理（深圳）有限公司,2025-06-28 04:06:36~2025-08-28 04:08:36,2025-04-02
丹枫雅苑1栋,宝安,71.29,住宅,二房,330,56300,257584116065深圳市宏帆房地产经纪有限公司,深圳市宏帆房地产经纪有限公司,2025-07-09 04:07:39~2025-09-08 04:09:39,2025-03-30
星航华府二期,宝安,78.25,住宅,二房,310,52400,254984381927中原地产,中原地产代理（深圳）有限公司,2025-08-09 12:08:40~2025-10-09 12:10:40,2025-04-02
香格丽湾园6栋,宝安,60.23,住宅,二房,370,65000,255164025974链家,深圳链家房地产经纪有限公司,2025-07-23 02:07:33~2025-09-22 02:09:33,2025-03-31
滢水山庄二区第八栋,宝安,74.38,住宅,二房,315,48200,251414339626乐有家控股,深圳市乐有家控股集团有限公司,2025-06-29 08:06:20~2025-08-29 08:08:20,2025-03-21
佳华名苑1栋,宝安,61.88,住宅,二房,430,78600,254561410761中原地产,中原地产代理（深圳）有限公司,2025-07-03 04:07:29~2025-09-02 04:09:29,2025-03-24
会展湾中港广场3栋,宝安,84.54,商务公寓,二房,380,--,254168657385乐有家,深圳市乐有家房产交易有限公司,2025-06-24 06:06:29~2025-08-24 06:08:29,2025-03-23
丽景城3栋,宝安,71.67,住宅,二房,360,62100,252664628988乐有家,深圳市乐有家房产交易有限公司,2025-07-15 12:07:48~2025-09-14 12:09:48,2025-04-18
桃源居12区13栋,宝安,81.97,住宅,二房,350,48000,250088498520链家,深圳链家房地产经纪有限公司,2025-07-15 12:07:39~2025-09-14 12:09:39,2025-04-04
书香门第名苑15栋,宝安,66.28,住宅,二房,340,65300,252895525070成家永兴,深圳市成家永兴地产经纪有限公司,2025-06-21 10:06:20~2025-08-21 10:08:20,2025-02-20
桃源居13区8栋,宝安,86.78,住宅,二房,390,49000,250268828170乐有家,深圳市乐有家房产交易有限公司,2025-07-08 04:07:17~2025-09-07 04:09:17,2025-03-20
潜龙*鑫茂花园A区3栋,宝安,68.54,住宅,二房,420,61300,254965044958链家,深圳链家房地产经纪有限公司,2025-07-11 10:07:27~2025-09-10 10:09:27,2025-03-13
幸福港湾尚品居,宝安,64.5,住宅,二房,430,73500,259218323358深圳市连横房地产经纪有限公司,深圳市连横房地产经纪有限公司,2025-07-03 10:07:39~2025-09-02 10:09:39,2025-03-09
碧水龙庭4栋,宝安,72.29,住宅,二房,370,57200,258445173757中原地产,中原地产代理（深圳）有限公司,2025-06-23 12:06:31~2025-08-23 12:08:31,2025-03-30
桃源盛景园19栋,宝安,75.37,住宅,二房,330,57000,256227288709乐有家控股,深圳市乐有家控股集团有限公司,2025-08-09 10:08:31~2025-10-09 10:10:31,2025-05-26
锦绣江南D栋,宝安,76.57,住宅,二房,465,49000,256126300030深圳乐远中央原著A店,深圳市七心房地产投资顾问有限公司,2025-06-20 06:06:31~2025-08-20 06:08:31,2025-02-18
皓月花园6栋,宝安,65.68,住宅,二房,360,53400,255616269695恒合达,深圳市恒合达房地产经纪有限公司,2025-08-08 12:08:58~2025-10-08 12:10:58,2025-04-09
财富港大厦,宝安,42.11,住宅,二房,368,66800,257125916800乐有家,深圳市乐有家房产交易有限公司,2025-08-07 06:08:31~2025-10-07 06:10:31,2025-04-10
宝安海滨广场(三期)1栋,宝安,62.87,住宅,二房,500,75000,256609303927乐有家,深圳市乐有家房产交易有限公司,2025-07-02 12:07:01~2025-09-01 12:09:01,2025-03-27
泰华大厦一栋,宝安,67.3,住宅,二房,358,40300,254209380026乐有家,深圳市乐有家房产交易有限公司,2025-06-21 11:06:47~2025-08-21 11:08:47,2025-04-11
碧海富通城6栋,宝安,53.2,住宅,二房,335,70200,257517051960中原地产,中原地产代理（深圳）有限公司,2025-07-07 10:07:18~2025-09-06 10:09:18,2025-03-10
世纪春城2栋,宝安,74.18,住宅,二房,319,51500,253727204739六六好房,深圳市六六好房网络科技有限公司,2025-07-03 04:07:29~2025-09-02 04:09:29,2025-03-04
潜龙*鑫茂花园A区6栋,宝安,67.65,住宅,二房,395,61300,254178653171恒合达,深圳市恒合达房地产经纪有限公司,2025-08-02 06:08:26~2025-10-02 06:10:26,2025-04-02
桃源盛景园15栋,宝安,87.31,住宅,二房,410,53000,259633037496中原地产,中原地产代理（深圳）有限公司,2025-07-13 10:07:41~2025-09-12 10:09:41,2025-03-14
天健时尚空间名苑,宝安,47.43,住宅,二房,458,100800,255842282992乐有家,深圳市乐有家房产交易有限公司,2025-06-30 10:06:22~2025-08-30 10:08:22,2025-03-03
幸福港湾尚品居,宝安,64.01,住宅,二房,430,73500,253908056100乐有家,深圳市乐有家房产交易有限公司,2025-06-30 02:06:54~2025-08-30 02:08:54,2025-03-04
金地上塘道花园1栋,宝安,64.95,住宅,二房,400,66600,254274279537乐有家控股,深圳市乐有家控股集团有限公司,2025-07-02 12:07:27~2025-09-01 12:09:27,2025-04-02
桃源居13区7栋,宝安,87.68,住宅,二房,380,49000,252490348271乐有家,深圳市乐有家房产交易有限公司,2025-08-05 07:08:18~2025-10-05 07:10:18,2025-04-06
绿海名居1号楼,宝安,75.31,住宅,二房,475,66800,256429022985链家,深圳链家房地产经纪有限公司,2025-08-10 04:08:50~2025-10-10 04:10:50,2025-04-10
弘雅花园(四期)雅兰亭3号楼,宝安,61.27,住宅,二房,380,58000,259489622842中原地产,中原地产代理（深圳）有限公司,2025-06-23 02:06:27~2025-08-23 02:08:27,2025-02-24
幸福港湾尚品居,宝安,64.88,住宅,二房,400,73500,255279755925中原地产,中原地产代理（深圳）有限公司,2025-07-16 10:07:39~2025-09-15 10:09:39,2025-03-22
桃源盛景园2栋,宝安,79.26,住宅,二房,379,50000,257584529541馨乐居房地产,深圳市馨乐居房地产经纪有限公司,2025-07-03 04:07:43~2025-09-02 04:09:43,2025-03-05
桦润馨居C区C3栋,宝安,74.64,住宅,二房,313,44000,255306364466链家,深圳链家房地产经纪有限公司,2025-07-03 04:07:24~2025-09-02 04:09:24,2025-04-22
桃源盛世园1#-6#楼,宝安,80.35,住宅,二房,450,55000,250407976644链家,深圳链家房地产经纪有限公司,2025-07-05 06:07:43~2025-09-04 06:09:43,2025-03-20
西海岸花园海峰阁,宝安,81.49,住宅,二房,485,57000,253900565796乐有家,深圳市乐有家房产交易有限公司,2025-06-24 02:06:28~2025-08-24 02:08:28,2025-03-31
日出印象花园9栋,宝安,75.55,住宅,二房,400,52100,252017617727乐有家控股,深圳市乐有家控股集团有限公司,2025-07-06 09:07:28~2025-09-05 09:09:28,2025-05-10
锦绣清华园四区3栋,宝安,78.29,住宅,二房,406,48000,254417275512中原地产,中原地产代理（深圳）有限公司,2025-07-12 12:07:27~2025-09-11 12:09:27,2025-03-14
风和日丽花园37栋,宝安,70.71,住宅,二房,350,47000,256358408790乐有家控股,深圳市乐有家控股集团有限公司,2025-07-12 08:07:28~2025-09-11 08:09:28,2025-04-15
金地上塘道花园7栋,宝安,65.11,住宅,二房,340,66600,257322650586乐有家,深圳市乐有家房产交易有限公司,2025-07-28 10:07:50~2025-09-27 10:09:50,2025-03-12
桃源居三区Ⅰ栋,宝安,78.95,住宅,二房,350,50000,259396614478乐有家,深圳市乐有家房产交易有限公司,2025-07-03 08:07:00~2025-09-02 08:09:00,2025-03-10
富源商贸大厦1栋,宝安,92,住宅,二房,446,42100,258577196932乐有家,深圳市乐有家房产交易有限公司,2025-07-30 12:07:50~2025-09-29 12:09:50,2025-04-11
泰华苑A栋,宝安,51.16,住宅,二房,400,64200,251886124539链家,深圳链家房地产经纪有限公司,2025-07-18 10:07:31~2025-09-17 10:09:31,2025-03-22
幸福港湾尚品居,宝安,65,住宅,二房,380,73500,258562617674中原地产,中原地产代理（深圳）有限公司,2025-06-20 02:06:26~2025-08-20 02:08:26,2025-04-13
桃源居5#住宅楼,宝安,73.4,住宅,二房,310,48000,254275210382链家,深圳链家房地产经纪有限公司,2025-08-05 10:08:32~2025-10-05 10:10:32,2025-04-10
宝安海滨广场(三期)1栋,宝安,55.15,住宅,二房,350,75000,253471502691六六好房,深圳市六六好房网络科技有限公司,2025-07-11 04:07:20~2025-09-10 04:09:20,2025-02-13
金港华庭1栋,宝安,64.66,住宅,二房,350,63300,257460918620乐有家,深圳市乐有家房产交易有限公司,2025-06-20 12:06:43~2025-08-20 12:08:43,2025-03-27
招商果岭花园7栋,宝安,70.64,住宅,二房,436,64700,258586974736深圳市连横房地产经纪有限公司,深圳市连横房地产经纪有限公司,2025-07-26 12:07:49~2025-09-25 12:09:49,2025-03-27
雍和园1栋,宝安,73.42,住宅,二房,500,72300,253905142169链家,深圳链家房地产经纪有限公司,2025-07-26 12:07:31~2025-09-25 12:09:31,2025-03-30
桃源居14区ABC栋,宝安,74.23,住宅,二房,300,50000,259599786520乐有家,深圳市乐有家房产交易有限公司,2025-07-27 04:07:24~2025-09-26 04:09:24,2025-03-28
新安湖花园新俊阁,宝安,70.3,住宅,二房,365,62000,258373316646深房联地产,深圳市深房联地产投资顾问有限公司,2025-06-26 12:06:29~2025-08-26 12:08:29,2025-03-18
绿海名苑1栋,宝安,59.84,住宅,二房,366,61200,253721856400乐有家,深圳市乐有家房产交易有限公司,2025-07-01 08:07:36~2025-08-31 08:08:36,2025-03-03
桃源居1#住宅楼,宝安,83.6,住宅,二房,370,48000,256845793393链家,深圳链家房地产经纪有限公司,2025-05-26 06:05:56~2025-08-25 06:08:56,2025-07-25
潜龙*鑫茂花园A区3栋,宝安,70.18,住宅,二房,430,61300,254175071283乐有家,深圳市乐有家房产交易有限公司,2025-06-25 06:06:39~2025-08-25 06:08:39,2025-02-23
金港华庭1栋,宝安,64.17,住宅,二房,350,63300,259099043592链家,深圳链家房地产经纪有限公司,2025-06-19 02:06:38~2025-08-19 02:08:38,2025-02-20
佳华书苑雅阁1栋,宝安,43.21,住宅,二房,450,100300,250249554452乐有家控股,深圳市乐有家控股集团有限公司,2025-07-02 04:07:22~2025-09-01 04:09:22,2025-03-20
幸福港湾尚品居,宝安,64.01,住宅,二房,385,73500,255678412967乐有家,深圳市乐有家房产交易有限公司,2025-06-26 10:06:30~2025-08-26 10:08:30,2025-03-28
丽景城11栋,宝安,71.51,住宅,二房,428,62100,258903744698乐有家,深圳市乐有家房产交易有限公司,2025-07-27 06:07:37~2025-09-26 06:09:37,2025-03-28
魅力时代花园1栋,宝安,50.23,住宅,二房,360,74800,255612194515乐有家,深圳市乐有家房产交易有限公司,2025-07-22 08:07:40~2025-09-21 08:09:40,2025-03-25
潜龙*鑫茂花园A区6栋,宝安,70.12,住宅,二房,360,61300,251586216833乐有家,深圳市乐有家房产交易有限公司,2025-07-22 04:07:08~2025-09-21 04:09:08,2025-03-28
桃源居14区ABC栋,宝安,74.23,住宅,二房,350,50000,258578703174中原地产,中原地产代理（深圳）有限公司,2025-07-07 08:07:28~2025-09-06 08:09:28,2025-03-28
丽景城2栋,宝安,71.54,住宅,二房,338,62100,250203854350链家,深圳链家房地产经纪有限公司,2025-07-19 04:07:32~2025-09-18 04:09:32,2025-03-28
碧海富通城5栋,宝安,53.08,住宅,二房,330,70200,254819264234乐有家,深圳市乐有家房产交易有限公司,2025-07-10 04:07:48~2025-09-09 04:09:48,2025-03-28
黄金大厦1栋,宝安,62.49,住宅,二房,330,65400,255831486921中原地产,中原地产代理（深圳）有限公司,2025-08-05 06:08:42~2025-10-05 06:10:42,2025-04-07
凤凰雅居1栋,宝安,47.67,住宅,二房,350,64700,252809514235亿鑫鸿房产,深圳市亿鑫鸿房产代理有限公司,2025-07-11 12:07:33~2025-09-10 12:09:33,2025-03-17
桃源居14区1栋,宝安,79.04,住宅,二房,365,50000,256857351051乐有家,深圳市乐有家房产交易有限公司,2025-06-26 06:06:28~2025-08-26 06:08:28,2025-03-01
世外桃源19栋,宝安,87.45,住宅,二房,430,48000,257580049589中原地产,中原地产代理（深圳）有限公司,2025-08-03 04:08:26~2025-10-03 04:10:26,2025-04-03
天骄世家2栋,宝安,76.54,住宅,二房,398,60200,258882456222中原地产,中原地产代理（深圳）有限公司,2025-07-13 06:07:32~2025-09-12 06:09:32,2025-03-17
潜龙*鑫茂花园B区1栋,宝安,68.66,住宅,二房,346,61300,253087803962链家,深圳链家房地产经纪有限公司,2025-08-07 02:08:45~2025-10-07 02:10:45,2025-04-08
富盈门花园A栋,宝安,70.97,住宅,二房,390,57600,254191598502锦橙地产,深圳市锦橙房地产经纪有限公司,2025-07-15 10:07:25~2025-09-14 10:09:25,2025-04-06
员工宿舍H栋,宝安,55.56,宿舍,二房,350,85000,250095105205乐有家,深圳市乐有家房产交易有限公司,2025-08-06 06:08:22~2025-10-06 06:10:22,2025-04-07
碧水龙庭1栋,宝安,73.31,住宅,二房,390,57200,250357498183乐有家控股,深圳市乐有家控股集团有限公司,2025-07-04 04:07:33~2025-10-03 04:10:33,2025-07-05
魅力时代花园1栋,宝安,76.3,住宅,二房,488,74800,259896234930中原地产,中原地产代理（深圳）有限公司,2025-07-20 12:07:32~2025-09-19 12:09:32,2025-03-30
湾上六座花园6栋,宝安,73.49,住宅,二房,500,74200,258184104621锦亿置业,深圳市锦亿置业有限公司,2025-06-21 08:06:37~2025-08-21 08:08:37,2025-03-29
香格丽湾园6栋,宝安,60.23,住宅,二房,359,65000,258965790214中原地产,中原地产代理（深圳）有限公司,2025-07-16 04:07:45~2025-09-15 04:09:45,2025-03-16
缤纷世界花园A栋,宝安,72.9,住宅,二房,435,65000,250865791861乐有家,深圳市乐有家房产交易有限公司,2025-07-29 12:07:20~2025-09-28 12:09:20,2025-03-29
泰华*俊庭(1栋),宝安,63.43,住宅,二房,340,71000,250116946485链家,深圳链家房地产经纪有限公司,2025-06-30 08:06:28~2025-08-30 08:08:28,2025-03-25
弘雅花园(四期)雅兰亭5号楼,宝安,70.77,住宅,二房,380,58000,257907943538弘雅地产,深圳弘雅房地产经纪有限责任公司,2025-07-25 08:07:38~2025-10-24 08:10:38,2025-08-05
华强城市花园（一期）B区3栋,宝安,69.91,住宅,二房,325,--,255841359391乐有家,深圳市乐有家房产交易有限公司,2025-07-22 02:07:57~2025-09-21 02:09:57,2025-03-31
滢水山庄二期20栋,宝安,73.16,住宅,二房,318,43500,250910443719乐有家,深圳市乐有家房产交易有限公司,2025-07-25 10:07:36~2025-09-24 10:09:36,2025-03-29
都市翠海华苑1栋,宝安,60.16,住宅,二房,480,100800,251646346879乐有家控股,深圳市乐有家控股集团有限公司,2025-07-21 04:07:37~2025-09-20 04:09:37,2025-03-31
金地上塘道花园2栋,宝安,64.94,住宅,二房,390,66600,254864730662乐有家,深圳市乐有家房产交易有限公司,2025-06-20 04:06:25~2025-08-20 04:08:25,2025-03-21
金地上塘道花园10栋,宝安,36.99,住宅,二房,310,66600,258948192480乐有家,深圳市乐有家房产交易有限公司,2025-06-21 10:06:06~2025-08-21 10:08:06,2025-03-28
中粮万福阁1栋,宝安,49.39,住宅,二房,350,82500,258796110482乐有家,深圳市乐有家房产交易有限公司,2025-07-03 04:07:26~2025-09-02 04:09:26,2025-03-20
农贸市场综合楼,宝安,42,住宅,二房,370,70100,251348902892中原地产,中原地产代理（深圳）有限公司,2025-07-30 08:07:34~2025-09-29 08:09:34,2025-04-04
星航华府一期,宝安,77.12,住宅,二房,310,52400,255004008704中原地产,中原地产代理（深圳）有限公司,2025-07-20 02:07:26~2025-09-19 02:09:26,2025-03-31
水榭春天花园1栋,宝安,68.12,住宅,二房,465,73000,259739341711乐有家,深圳市乐有家房产交易有限公司,2025-05-21 02:05:41~2025-08-20 02:08:41,2025-07-12
碧海富通城5栋,宝安,58.25,住宅,二房,400,70200,254846392419中原地产,中原地产代理（深圳）有限公司,2025-06-26 04:06:31~2025-08-26 04:08:31,2025-03-31
弘雅花园(四期)雅兰亭4号楼,宝安,67.14,住宅,二房,368,58000,251295465617乐有家,深圳市乐有家房产交易有限公司,2025-07-03 04:07:22~2025-09-02 04:09:22,2025-03-04
金地梅陇镇花园18栋,宝安,73.96,住宅,二房,385,58900,251752185995乐有家,深圳市乐有家房产交易有限公司,2025-08-01 04:08:35~2025-10-01 04:10:35,2025-05-02
泰华锦绣城1栋,宝安,82.2,住宅,二房,390,49100,254574443999深圳市和腾房地产有限公司,深圳市和腾房地产有限公司,2025-06-29 06:06:24~2025-08-29 06:08:24,2025-03-05
世纪春城（6号地块）1栋,宝安,57.13,住宅,二房,315,56000,257256874579链家,深圳链家房地产经纪有限公司,2025-07-11 12:07:28~2025-09-10 12:09:28,2025-03-16
丽景城1栋,宝安,71.59,住宅,二房,368,62100,256518020275中原地产,中原地产代理（深圳）有限公司,2025-07-13 08:07:30~2025-09-12 08:09:30,2025-03-14
华业玫瑰四季馨园一期2栋,宝安,70.85,住宅,二房,480,73800,256707382834六六好房,深圳市六六好房网络科技有限公司,2025-07-22 06:07:51~2025-09-21 06:09:51,2025-02-19
金港华庭1栋,宝安,64.14,住宅,二房,330,63300,251103918340中原地产,中原地产代理（深圳）有限公司,2025-06-21 10:06:21~2025-08-21 10:08:21,2025-03-14
深物业新华城美花园1栋,宝安,77.68,住宅,二房,435,54400,250181087997乐有家控股,深圳市乐有家控股集团有限公司,2025-07-01 02:07:25~2025-08-31 02:08:25,2025-03-11
深物业新华城美花园1栋,宝安,77.68,住宅,二房,385,54400,257894750073乐有家,深圳市乐有家房产交易有限公司,2025-06-23 12:06:27~2025-08-23 12:08:27,2025-02-21
桃源居13区8栋,宝安,86.02,住宅,二房,400,49000,257927776478馨乐居房地产,深圳市馨乐居房地产经纪有限公司,2025-06-27 10:06:42~2025-08-27 10:08:42,2025-03-03
深物业新华城美花园1栋,宝安,72.74,住宅,二房,380,54400,258263614245链家,深圳链家房地产经纪有限公司,2025-07-01 08:07:36~2025-08-31 08:08:36,2025-03-04
广信花园广祥阁,宝安,76.3,住宅,二房,330,51000,254585786524盛联行,深圳市盛联行网络科技有限公司,2025-07-25 02:07:21~2025-09-24 02:09:21,2025-02-25
宏发领域花园4栋,宝安,49.08,住宅,二房,380,82400,257515695136链家,深圳链家房地产经纪有限公司,2025-06-20 12:06:59~2025-08-20 12:08:59,2025-03-21
招商观园6栋,宝安,74.74,住宅,二房,350,47000,254334958409乐有家,深圳市乐有家房产交易有限公司,2025-08-03 02:08:57~2025-10-03 02:10:57,2025-03-04
兴达华府1栋,宝安,68.06,住宅,二房,329,60000,257369473482中原地产,中原地产代理（深圳）有限公司,2025-07-18 12:07:48~2025-09-17 12:09:48,2025-03-19
世纪春城2栋,宝安,74.18,住宅,二房,330,51500,250029169775乐有家,深圳市乐有家房产交易有限公司,2025-07-12 04:07:34~2025-09-11 04:09:34,2025-03-19
